           R_km         P_MeV/fm3         M_M_solar   Energy Density (ε)
 1.50000000e-02    9.99998283e+01    6.47350327e-09    9.10533991e+17
 2.00000000e-02    9.99995880e+01    1.53445905e-08    9.10532201e+17
 2.50000000e-02    9.99992790e+01    2.99698773e-08    9.10530858e+17
 3.00000000e-02    9.99989015e+01    5.17878923e-08    9.10529218e+17
 3.50000000e-02    9.99984552e+01    8.22371501e-08    9.10527279e+17
 4.00000000e-02    9.99979404e+01    1.22756148e-07    9.10525041e+17
 4.50000000e-02    9.99973568e+01    1.74783365e-07    9.10522506e+17
 5.00000000e-02    9.99967047e+01    2.39757254e-07    9.10519672e+17
 5.50000000e-02    9.99959839e+01    3.19116247e-07    9.10516540e+17
 6.00000000e-02    9.99951944e+01    4.14298745e-07    9.10513110e+17
 6.50000000e-02    9.99943363e+01    5.26743117e-07    9.10509381e+17
 7.00000000e-02    9.99934096e+01    6.57887700e-07    9.10505355e+17
 7.50000000e-02    9.99924142e+01    8.09170795e-07    9.10501030e+17
 8.00000000e-02    9.99913502e+01    9.82030660e-07    9.10496407e+17
 8.50000000e-02    9.99902175e+01    1.17790551e-06    9.10491486e+17
 9.00000000e-02    9.99890163e+01    1.39823353e-06    9.10486268e+17
 9.50000000e-02    9.99877463e+01    1.64445283e-06    9.10480751e+17
 1.00000000e-01    9.99864078e+01    1.91800149e-06    9.10474937e+17
 1.05000000e-01    9.99850006e+01    2.22031753e-06    9.10468825e+17
 1.10000000e-01    9.99835248e+01    2.55283892e-06    9.10462416e+17
 1.15000000e-01    9.99819804e+01    2.91700355e-06    9.10455709e+17
 1.20000000e-01    9.99803673e+01    3.31424927e-06    9.10448704e+17
 1.25000000e-01    9.99786856e+01    3.74601386e-06    9.10441403e+17
 1.30000000e-01    9.99769353e+01    4.21373503e-06    9.10433805e+17
 1.35000000e-01    9.99751164e+01    4.71885041e-06    9.10425910e+17
 1.40000000e-01    9.99732289e+01    5.26279757e-06    9.10417718e+17
 1.45000000e-01    9.99712727e+01    5.84701401e-06    9.10409229e+17
 1.50000000e-01    9.99692480e+01    6.47293714e-06    9.10400444e+17
 1.55000000e-01    9.99671546e+01    7.14200427e-06    9.10391362e+17
 1.60000000e-01    9.99649926e+01    7.85565267e-06    9.10381983e+17
 1.65000000e-01    9.99627621e+01    8.61531948e-06    9.10372308e+17
 1.70000000e-01    9.99604629e+01    9.42244177e-06    9.10362336e+17
 1.75000000e-01    9.99580952e+01    1.02784565e-05    9.10352067e+17
 1.80000000e-01    9.99556588e+01    1.11848006e-05    9.10341501e+17
 1.85000000e-01    9.99531539e+01    1.21429108e-05    9.10330639e+17
 1.90000000e-01    9.99505804e+01    1.31542238e-05    9.10319479e+17
 1.95000000e-01    9.99479383e+01    1.42201762e-05    9.10308023e+17
 2.00000000e-01    9.99452277e+01    1.53422044e-05    9.10296269e+17
 2.05000000e-01    9.99424484e+01    1.65217448e-05    9.10284218e+17
 2.10000000e-01    9.99396006e+01    1.77602336e-05    9.10271869e+17
 2.15000000e-01    9.99366843e+01    1.90591070e-05    9.10259223e+17
 2.20000000e-01    9.99336994e+01    2.04198010e-05    9.10246278e+17
 2.25000000e-01    9.99306459e+01    2.18437514e-05    9.10233034e+17
 2.30000000e-01    9.99275239e+01    2.33323941e-05    9.10219492e+17
 2.35000000e-01    9.99243333e+01    2.48871646e-05    9.10205651e+17
 2.40000000e-01    9.99210742e+01    2.65094985e-05    9.10191510e+17
 2.45000000e-01    9.99177466e+01    2.82008311e-05    9.10177070e+17
 2.50000000e-01    9.99143504e+01    2.99625976e-05    9.10162332e+17
 2.55000000e-01    9.99108857e+01    3.17962333e-05    9.10147294e+17
 2.60000000e-01    9.99073524e+01    3.37031729e-05    9.10131958e+17
 2.65000000e-01    9.99037507e+01    3.56848514e-05    9.10116325e+17
 2.70000000e-01    9.99000805e+01    3.77427034e-05    9.10100393e+17
 2.75000000e-01    9.98963417e+01    3.98781634e-05    9.10084163e+17
 2.80000000e-01    9.98925344e+01    4.20926658e-05    9.10067637e+17
 2.85000000e-01    9.98886587e+01    4.43876447e-05    9.10050814e+17
 2.90000000e-01    9.98847144e+01    4.67645344e-05    9.10033694e+17
 2.95000000e-01    9.98807017e+01    4.92247685e-05    9.10016279e+17
 3.00000000e-01    9.98766205e+01    5.17697810e-05    9.09998569e+17
 3.05000000e-01    9.98724708e+01    5.44010053e-05    9.09980564e+17
 3.10000000e-01    9.98682527e+01    5.71198748e-05    9.09962264e+17
 3.15000000e-01    9.98639661e+01    5.99278229e-05    9.09943670e+17
 3.20000000e-01    9.98596110e+01    6.28262825e-05    9.09924781e+17
 3.25000000e-01    9.98551875e+01    6.58166865e-05    9.09905598e+17
 3.30000000e-01    9.98506956e+01    6.89004676e-05    9.09886119e+17
 3.35000000e-01    9.98461352e+01    7.20790584e-05    9.09866345e+17
 3.40000000e-01    9.98415064e+01    7.53538911e-05    9.09846275e+17
 3.45000000e-01    9.98368092e+01    7.87263979e-05    9.09825909e+17
 3.50000000e-01    9.98320435e+01    8.21980108e-05    9.09805248e+17
 3.55000000e-01    9.98272095e+01    8.57701615e-05    9.09784290e+17
 3.60000000e-01    9.98223070e+01    8.94442816e-05    9.09763035e+17
 3.65000000e-01    9.98173362e+01    9.32218024e-05    9.09741484e+17
 3.70000000e-01    9.98122970e+01    9.71041550e-05    9.09719636e+17
 3.75000000e-01    9.98071893e+01    1.01092771e-04    9.09697491e+17
 3.80000000e-01    9.98020134e+01    1.05189080e-04    9.09675049e+17
 3.85000000e-01    9.97967690e+01    1.09394513e-04    9.09652311e+17
 3.90000000e-01    9.97914563e+01    1.13710500e-04    9.09629276e+17
 3.95000000e-01    9.97860752e+01    1.18138472e-04    9.09605945e+17
 4.00000000e-01    9.97806258e+01    1.22679859e-04    9.09582317e+17
 4.05000000e-01    9.97751081e+01    1.27336089e-04    9.09558393e+17
 4.10000000e-01    9.97695221e+01    1.32108593e-04    9.09534173e+17
 4.15000000e-01    9.97638677e+01    1.36998800e-04    9.09509657e+17
 4.20000000e-01    9.97581450e+01    1.42008138e-04    9.09484845e+17
 4.25000000e-01    9.97523540e+01    1.47138036e-04    9.09459736e+17
 4.30000000e-01    9.97464947e+01    1.52389924e-04    9.09434332e+17
 4.35000000e-01    9.97405672e+01    1.57765228e-04    9.09408632e+17
 4.40000000e-01    9.97345713e+01    1.63265378e-04    9.09382636e+17
 4.45000000e-01    9.97285072e+01    1.68891801e-04    9.09356344e+17
 4.50000000e-01    9.97223748e+01    1.74645924e-04    9.09329756e+17
 4.55000000e-01    9.97161742e+01    1.80529175e-04    9.09302872e+17
 4.60000000e-01    9.97099054e+01    1.86542981e-04    9.09275692e+17
 4.65000000e-01    9.97035683e+01    1.92688769e-04    9.09248217e+17
 4.70000000e-01    9.96971629e+01    1.98967964e-04    9.09220445e+17
 4.75000000e-01    9.96906894e+01    2.05381994e-04    9.09192378e+17
 4.80000000e-01    9.96841477e+01    2.11932284e-04    9.09164015e+17
 4.85000000e-01    9.96775377e+01    2.18620261e-04    9.09135355e+17
 4.90000000e-01    9.96708596e+01    2.25447349e-04    9.09106400e+17
 4.95000000e-01    9.96641133e+01    2.32414973e-04    9.09077148e+17
 5.00000000e-01    9.96572989e+01    2.39524559e-04    9.09047602e+17
 5.05000000e-01    9.96504163e+01    2.46777532e-04    9.09017761e+17
 5.10000000e-01    9.96434655e+01    2.54175315e-04    9.08987627e+17
 5.15000000e-01    9.96364466e+01    2.61719333e-04    9.08957202e+17
 5.20000000e-01    9.96293596e+01    2.69411009e-04    9.08926486e+17
 5.25000000e-01    9.96222044e+01    2.77251767e-04    9.08895480e+17
 5.30000000e-01    9.96149812e+01    2.85243031e-04    9.08864187e+17
 5.35000000e-01    9.96076898e+01    2.93386223e-04    9.08832604e+17
 5.40000000e-01    9.96003304e+01    3.01682766e-04    9.08800730e+17
 5.45000000e-01    9.95929029e+01    3.10134082e-04    9.08768564e+17
 5.50000000e-01    9.95854073e+01    3.18741594e-04    9.08736101e+17
 5.55000000e-01    9.95778437e+01    3.27506722e-04    9.08703341e+17
 5.60000000e-01    9.95702121e+01    3.36430889e-04    9.08670279e+17
 5.65000000e-01    9.95625124e+01    3.45515516e-04    9.08636915e+17
 5.70000000e-01    9.95547446e+01    3.54762022e-04    9.08603249e+17
 5.75000000e-01    9.95469089e+01    3.64171830e-04    9.08569284e+17
 5.80000000e-01    9.95390052e+01    3.73746357e-04    9.08535023e+17
 5.85000000e-01    9.95310335e+01    3.83487026e-04    9.08500470e+17
 5.90000000e-01    9.95229938e+01    3.93395254e-04    9.08465628e+17
 5.95000000e-01    9.95148861e+01    4.03472462e-04    9.08430502e+17
 6.00000000e-01    9.95067105e+01    4.13720067e-04    9.08395091e+17
 6.05000000e-01    9.94984670e+01    4.24139490e-04    9.08359394e+17
 6.10000000e-01    9.94901555e+01    4.34732148e-04    9.08323406e+17
 6.15000000e-01    9.94817761e+01    4.45499458e-04    9.08287124e+17
 6.20000000e-01    9.94733288e+01    4.56442839e-04    9.08250544e+17
 6.25000000e-01    9.94648136e+01    4.67563708e-04    9.08213662e+17
 6.30000000e-01    9.94562306e+01    4.78863481e-04    9.08176475e+17
 6.35000000e-01    9.94475796e+01    4.90343574e-04    9.08138987e+17
 6.40000000e-01    9.94388608e+01    5.02005404e-04    9.08101201e+17
 6.45000000e-01    9.94300742e+01    5.13850386e-04    9.08063122e+17
 6.50000000e-01    9.94212197e+01    5.25879936e-04    9.08024754e+17
 6.55000000e-01    9.94122974e+01    5.38095469e-04    9.07986101e+17
 6.60000000e-01    9.94033074e+01    5.50498400e-04    9.07947166e+17
 6.65000000e-01    9.93942495e+01    5.63090142e-04    9.07907946e+17
 6.70000000e-01    9.93851238e+01    5.75872111e-04    9.07868438e+17
 6.75000000e-01    9.93759304e+01    5.88845719e-04    9.07828640e+17
 6.80000000e-01    9.93666692e+01    6.02012381e-04    9.07788548e+17
 6.85000000e-01    9.93573403e+01    6.15373508e-04    9.07748158e+17
 6.90000000e-01    9.93479436e+01    6.28930514e-04    9.07707472e+17
 6.95000000e-01    9.93384793e+01    6.42684810e-04    9.07666491e+17
 7.00000000e-01    9.93289472e+01    6.56637808e-04    9.07625218e+17
 7.05000000e-01    9.93193475e+01    6.70790919e-04    9.07583655e+17
 7.10000000e-01    9.93096800e+01    6.85145554e-04    9.07541805e+17
 7.15000000e-01    9.92999450e+01    6.99703124e-04    9.07499668e+17
 7.20000000e-01    9.92901422e+01    7.14465039e-04    9.07457243e+17
 7.25000000e-01    9.92802719e+01    7.29432709e-04    9.07414527e+17
 7.30000000e-01    9.92703339e+01    7.44607543e-04    9.07371517e+17
 7.35000000e-01    9.92603284e+01    7.59990951e-04    9.07328211e+17
 7.40000000e-01    9.92502552e+01    7.75584339e-04    9.07284606e+17
 7.45000000e-01    9.92401145e+01    7.91389117e-04    9.07240706e+17
 7.50000000e-01    9.92299062e+01    8.07406693e-04    9.07196513e+17
 7.55000000e-01    9.92196303e+01    8.23638473e-04    9.07152029e+17
 7.60000000e-01    9.92092870e+01    8.40085864e-04    9.07107259e+17
 7.65000000e-01    9.91988761e+01    8.56750273e-04    9.07062205e+17
 7.70000000e-01    9.91883977e+01    8.73633107e-04    9.07016864e+17
 7.75000000e-01    9.91778519e+01    8.90735770e-04    9.06971233e+17
 7.80000000e-01    9.91672385e+01    9.08059668e-04    9.06925310e+17
 7.85000000e-01    9.91565577e+01    9.25606206e-04    9.06879090e+17
 7.90000000e-01    9.91458095e+01    9.43376788e-04    9.06832574e+17
 7.95000000e-01    9.91349939e+01    9.61372817e-04    9.06785765e+17
 8.00000000e-01    9.91241108e+01    9.79595698e-04    9.06738669e+17
 8.05000000e-01    9.91131603e+01    9.98046833e-04    9.06691292e+17
 8.10000000e-01    9.91021425e+01    1.01672763e-03    9.06643639e+17
 8.15000000e-01    9.90910573e+01    1.03563948e-03    9.06595711e+17
 8.20000000e-01    9.90799048e+01    1.05478379e-03    9.06547498e+17
 8.25000000e-01    9.90686849e+01    1.07416197e-03    9.06498991e+17
 8.30000000e-01    9.90573977e+01    1.09377541e-03    9.06450183e+17
 8.35000000e-01    9.90460433e+01    1.11362551e-03    9.06401064e+17
 8.40000000e-01    9.90346215e+01    1.13371368e-03    9.06351643e+17
 8.45000000e-01    9.90231325e+01    1.15404131e-03    9.06301929e+17
 8.50000000e-01    9.90115762e+01    1.17460980e-03    9.06251934e+17
 8.55000000e-01    9.89999527e+01    1.19542055e-03    9.06201671e+17
 8.60000000e-01    9.89882620e+01    1.21647496e-03    9.06151140e+17
 8.65000000e-01    9.89765040e+01    1.23777442e-03    9.06100332e+17
 8.70000000e-01    9.89646789e+01    1.25932034e-03    9.06049231e+17
 8.75000000e-01    9.89527867e+01    1.28111411e-03    9.05997824e+17
 8.80000000e-01    9.89408272e+01    1.30315712e-03    9.05946103e+17
 8.85000000e-01    9.89288007e+01    1.32545078e-03    9.05894077e+17
 8.90000000e-01    9.89167070e+01    1.34799647e-03    9.05841757e+17
 8.95000000e-01    9.89045463e+01    1.37079559e-03    9.05789157e+17
 9.00000000e-01    9.88923184e+01    1.39384954e-03    9.05736290e+17
 9.05000000e-01    9.88800235e+01    1.41715971e-03    9.05683154e+17
 9.10000000e-01    9.88676616e+01    1.44072749e-03    9.05629743e+17
 9.15000000e-01    9.88552326e+01    1.46455427e-03    9.05576050e+17
 9.20000000e-01    9.88427366e+01    1.48864146e-03    9.05522067e+17
 9.25000000e-01    9.88301736e+01    1.51299043e-03    9.05467792e+17
 9.30000000e-01    9.88175437e+01    1.53760258e-03    9.05413226e+17
 9.35000000e-01    9.88048468e+01    1.56247931e-03    9.05358369e+17
 9.40000000e-01    9.87920829e+01    1.58762200e-03    9.05303223e+17
 9.45000000e-01    9.87792521e+01    1.61303203e-03    9.05247788e+17
 9.50000000e-01    9.87663545e+01    1.63871081e-03    9.05192065e+17
 9.55000000e-01    9.87533899e+01    1.66465972e-03    9.05136056e+17
 9.60000000e-01    9.87403585e+01    1.69088014e-03    9.05079760e+17
 9.65000000e-01    9.87272602e+01    1.71737347e-03    9.05023179e+17
 9.70000000e-01    9.87140951e+01    1.74414110e-03    9.04966313e+17
 9.75000000e-01    9.87008633e+01    1.77118440e-03    9.04909162e+17
 9.80000000e-01    9.86875646e+01    1.79850476e-03    9.04851726e+17
 9.85000000e-01    9.86741991e+01    1.82610358e-03    9.04794006e+17
 9.90000000e-01    9.86607669e+01    1.85398223e-03    9.04735998e+17
 9.95000000e-01    9.86472679e+01    1.88214210e-03    9.04677701e+17
 1.00000000e+00    9.86337023e+01    1.91058457e-03    9.04619114e+17
 1.00500000e+00    9.86200699e+01    1.93931103e-03    9.04560242e+17
 1.01000000e+00    9.86063709e+01    1.96832286e-03    9.04501095e+17
 1.01500000e+00    9.85926052e+01    1.99762144e-03    9.04441679e+17
 1.02000000e+00    9.85787729e+01    2.02720815e-03    9.04381999e+17
 1.02500000e+00    9.85648740e+01    2.05708439e-03    9.04322042e+17
 1.03000000e+00    9.85509084e+01    2.08725152e-03    9.04261793e+17
 1.03500000e+00    9.85368763e+01    2.11771092e-03    9.04201236e+17
 1.04000000e+00    9.85227776e+01    2.14846398e-03    9.04140371e+17
 1.04500000e+00    9.85086124e+01    2.17951208e-03    9.04079211e+17
 1.05000000e+00    9.84943807e+01    2.21085658e-03    9.04017775e+17
 1.05500000e+00    9.84800825e+01    2.24249888e-03    9.03956080e+17
 1.06000000e+00    9.84657178e+01    2.27444034e-03    9.03894123e+17
 1.06500000e+00    9.84512866e+01    2.30668235e-03    9.03831899e+17
 1.07000000e+00    9.84367890e+01    2.33922628e-03    9.03769397e+17
 1.07500000e+00    9.84222250e+01    2.37207351e-03    9.03706610e+17
 1.08000000e+00    9.84075946e+01    2.40522542e-03    9.03643531e+17
 1.08500000e+00    9.83928978e+01    2.43868336e-03    9.03580151e+17
 1.09000000e+00    9.83781347e+01    2.47244873e-03    9.03516464e+17
 1.09500000e+00    9.83633052e+01    2.50652289e-03    9.03452476e+17
 1.10000000e+00    9.83484095e+01    2.54090722e-03    9.03388205e+17
 1.10500000e+00    9.83334474e+01    2.57560308e-03    9.03323665e+17
 1.11000000e+00    9.83184191e+01    2.61061184e-03    9.03258865e+17
 1.11500000e+00    9.83033245e+01    2.64593489e-03    9.03193797e+17
 1.12000000e+00    9.82881637e+01    2.68157359e-03    9.03128452e+17
 1.12500000e+00    9.82729367e+01    2.71752931e-03    9.03062821e+17
 1.13000000e+00    9.82576435e+01    2.75380342e-03    9.02996909e+17
 1.13500000e+00    9.82422841e+01    2.79039728e-03    9.02930728e+17
 1.14000000e+00    9.82268586e+01    2.82731227e-03    9.02864287e+17
 1.14500000e+00    9.82113670e+01    2.86454976e-03    9.02797584e+17
 1.15000000e+00    9.81958093e+01    2.90211111e-03    9.02730602e+17
 1.15500000e+00    9.81801855e+01    2.93999768e-03    9.02663324e+17
 1.16000000e+00    9.81644956e+01    2.97821085e-03    9.02595738e+17
 1.16500000e+00    9.81487398e+01    3.01675197e-03    9.02527850e+17
 1.17000000e+00    9.81329179e+01    3.05562241e-03    9.02459670e+17
 1.17500000e+00    9.81170300e+01    3.09482353e-03    9.02391205e+17
 1.18000000e+00    9.81010762e+01    3.13435670e-03    9.02322471e+17
 1.18500000e+00    9.80850564e+01    3.17422328e-03    9.02253482e+17
 1.19000000e+00    9.80689707e+01    3.21442462e-03    9.02184254e+17
 1.19500000e+00    9.80528191e+01    3.25496210e-03    9.02114771e+17
 1.20000000e+00    9.80366017e+01    3.29583708e-03    9.02045002e+17
 1.20500000e+00    9.80203184e+01    3.33705090e-03    9.01974917e+17
 1.21000000e+00    9.80039692e+01    3.37860494e-03    9.01904513e+17
 1.21500000e+00    9.79875543e+01    3.42050055e-03    9.01833821e+17
 1.22000000e+00    9.79710736e+01    3.46273908e-03    9.01762872e+17
 1.22500000e+00    9.79545271e+01    3.50532189e-03    9.01691680e+17
 1.23000000e+00    9.79379149e+01    3.54825035e-03    9.01620232e+17
 1.23500000e+00    9.79212369e+01    3.59152580e-03    9.01548513e+17
 1.24000000e+00    9.79044933e+01    3.63514961e-03    9.01476510e+17
 1.24500000e+00    9.78876840e+01    3.67912313e-03    9.01404216e+17
 1.25000000e+00    9.78708091e+01    3.72344770e-03    9.01331625e+17
 1.25500000e+00    9.78538686e+01    3.76812469e-03    9.01258736e+17
 1.26000000e+00    9.78368624e+01    3.81315545e-03    9.01185560e+17
 1.26500000e+00    9.78197907e+01    3.85854132e-03    9.01112114e+17
 1.27000000e+00    9.78026535e+01    3.90428366e-03    9.01038408e+17
 1.27500000e+00    9.77854507e+01    3.95038382e-03    9.00964454e+17
 1.28000000e+00    9.77681825e+01    3.99684315e-03    9.00890260e+17
 1.28500000e+00    9.77508487e+01    4.04366301e-03    9.00815824e+17
 1.29000000e+00    9.77334495e+01    4.09084473e-03    9.00741121e+17
 1.29500000e+00    9.77159849e+01    4.13838968e-03    9.00666123e+17
 1.30000000e+00    9.76984549e+01    4.18629919e-03    9.00590811e+17
 1.30500000e+00    9.76808595e+01    4.23457462e-03    9.00515201e+17
 1.31000000e+00    9.76631988e+01    4.28321729e-03    9.00439313e+17
 1.31500000e+00    9.76454727e+01    4.33222857e-03    9.00363158e+17
 1.32000000e+00    9.76276813e+01    4.38160980e-03    9.00286734e+17
 1.32500000e+00    9.76098247e+01    4.43136232e-03    9.00210037e+17
 1.33000000e+00    9.75919028e+01    4.48148746e-03    9.00133068e+17
 1.33500000e+00    9.75739157e+01    4.53198659e-03    9.00055834e+17
 1.34000000e+00    9.75558634e+01    4.58286103e-03    8.99978343e+17
 1.34500000e+00    9.75377459e+01    4.63411213e-03    8.99900598e+17
 1.35000000e+00    9.75195632e+01    4.68574123e-03    8.99822595e+17
 1.35500000e+00    9.75013155e+01    4.73774968e-03    8.99744331e+17
 1.36000000e+00    9.74830026e+01    4.79013880e-03    8.99665792e+17
 1.36500000e+00    9.74646246e+01    4.84290995e-03    8.99586963e+17
 1.37000000e+00    9.74461817e+01    4.89606444e-03    8.99507830e+17
 1.37500000e+00    9.74276736e+01    4.94960363e-03    8.99428408e+17
 1.38000000e+00    9.74091006e+01    5.00352884e-03    8.99348723e+17
 1.38500000e+00    9.73904626e+01    5.05784142e-03    8.99268796e+17
 1.39000000e+00    9.73717597e+01    5.11254269e-03    8.99188617e+17
 1.39500000e+00    9.73529919e+01    5.16763399e-03    8.99108173e+17
 1.40000000e+00    9.73341591e+01    5.22311667e-03    8.99027456e+17
 1.40500000e+00    9.73152615e+01    5.27899203e-03    8.98946470e+17
 1.41000000e+00    9.72962991e+01    5.33526143e-03    8.98865218e+17
 1.41500000e+00    9.72772718e+01    5.39192620e-03    8.98783703e+17
 1.42000000e+00    9.72581798e+01    5.44898765e-03    8.98701919e+17
 1.42500000e+00    9.72390230e+01    5.50644712e-03    8.98619863e+17
