Stellar Sequence
Central Pressure Range = 4.0 to 1000.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 4.00000000e+00   1.45300000e+01    2.31189431e-01    1.91283519e+02
 4.79743795e+00   1.37700000e+01    2.61856111e-01    2.02599128e+02
 5.59487590e+00   1.32750000e+01    2.91482024e-01    2.12609322e+02
 6.39231385e+00   1.29400000e+01    3.20096578e-01    2.21684947e+02
 7.18975180e+00   1.27000000e+01    3.47744130e-01    2.29987334e+02
 7.98718975e+00   1.25200000e+01    3.74477192e-01    2.37703017e+02
 8.78462770e+00   1.23850000e+01    4.00342650e-01    2.44929264e+02
 9.58206565e+00   1.22800000e+01    4.25390232e-01    2.51743634e+02
 1.03795036e+01   1.22000000e+01    4.49664183e-01    2.58213048e+02
 1.11769416e+01   1.21350000e+01    4.73204842e-01    2.64379143e+02
 1.19743795e+01   1.20850000e+01    4.96049325e-01    2.70264801e+02
 1.27718175e+01   1.20400000e+01    5.18235097e-01    2.75933674e+02
 1.35692554e+01   1.20100000e+01    5.39795450e-01    2.81396639e+02
 1.43666934e+01   1.19800000e+01    5.60758587e-01    2.86662538e+02
 1.51641313e+01   1.19600000e+01    5.81152685e-01    2.91785568e+02
 1.59615693e+01   1.19400000e+01    6.01006104e-01    2.96726302e+02
 1.67590072e+01   1.19250000e+01    6.20341467e-01    3.01546223e+02
 1.75564452e+01   1.19100000e+01    6.39183126e-01    3.06231822e+02
 1.83538831e+01   1.19000000e+01    6.57550308e-01    3.10811578e+02
 1.91513211e+01   1.18900000e+01    6.75464563e-01    3.15268113e+02
 1.99487590e+01   1.18850000e+01    6.92942663e-01    3.19645584e+02
 2.07461970e+01   1.18750000e+01    7.10004057e-01    3.23902485e+02
 2.15436349e+01   1.18700000e+01    7.26665003e-01    3.28094178e+02
 2.23410729e+01   1.18650000e+01    7.42940104e-01    3.32192654e+02
 2.31385108e+01   1.18650000e+01    7.58845179e-01    3.36217653e+02
 2.39359488e+01   1.18600000e+01    7.74392594e-01    3.40179367e+02
 2.47333867e+01   1.18600000e+01    7.89596083e-01    3.44057884e+02
 2.55308247e+01   1.18550000e+01    8.04468699e-01    3.47885953e+02
 2.63282626e+01   1.18550000e+01    8.19020267e-01    3.51650403e+02
 2.71257006e+01   1.18500000e+01    8.33264086e-01    3.55345319e+02
 2.79231385e+01   1.18500000e+01    8.47210074e-01    3.58999516e+02
 2.87205765e+01   1.18500000e+01    8.60867427e-01    3.62597982e+02
 2.95180144e+01   1.18500000e+01    8.74246487e-01    3.66142383e+02
 3.03154524e+01   1.18500000e+01    8.87356360e-01    3.69643629e+02
 3.11128903e+01   1.18500000e+01    9.00204878e-01    3.73105739e+02
 3.19103283e+01   1.18450000e+01    9.12800558e-01    3.76514577e+02
 3.27077662e+01   1.18450000e+01    9.25152208e-01    3.79881619e+02
 3.35052042e+01   1.18450000e+01    9.37266415e-01    3.83220523e+02
 3.43026421e+01   1.18450000e+01    9.49150104e-01    3.86513446e+02
 3.51000801e+01   1.18450000e+01    9.60811181e-01    3.89763778e+02
 3.58975180e+01   1.18450000e+01    9.72256049e-01    3.92986422e+02
 3.66949560e+01   1.18450000e+01    9.83490401e-01    3.96177147e+02
 3.74923939e+01   1.18450000e+01    9.94520433e-01    3.99331953e+02
 3.82898319e+01   1.18450000e+01    1.00535222e+00    4.02452865e+02
 3.90872698e+01   1.18400000e+01    1.01599139e+00    4.05545116e+02
 3.98847078e+01   1.18400000e+01    1.02644291e+00    4.08613466e+02
 4.06821457e+01   1.18400000e+01    1.03671166e+00    4.11651635e+02
 4.14795837e+01   1.18400000e+01    1.04680309e+00    4.14654888e+02
 4.22770216e+01   1.18400000e+01    1.05672222e+00    4.17633343e+02
 4.30744596e+01   1.18400000e+01    1.06647313e+00    4.20593288e+02
 4.38718975e+01   1.18350000e+01    1.07605997e+00    4.23526862e+02
 4.46693355e+01   1.18350000e+01    1.08548732e+00    4.26430144e+02
 4.54667734e+01   1.18350000e+01    1.09475953e+00    4.29309903e+02
 4.62642114e+01   1.18350000e+01    1.10388032e+00    4.32170743e+02
 4.70616493e+01   1.18350000e+01    1.11285326e+00    4.35010872e+02
 4.78590873e+01   1.18300000e+01    1.12168202e+00    4.37828487e+02
 4.86565252e+01   1.18300000e+01    1.13037022e+00    4.40623482e+02
 4.94539632e+01   1.18300000e+01    1.13892138e+00    4.43396657e+02
 5.02514011e+01   1.18300000e+01    1.14733878e+00    4.46151200e+02
 5.10488391e+01   1.18250000e+01    1.15562548e+00    4.48890089e+02
 5.18462770e+01   1.18250000e+01    1.16378436e+00    4.51611033e+02
 5.26437150e+01   1.18250000e+01    1.17181850e+00    4.54309748e+02
 5.34411529e+01   1.18250000e+01    1.17973101e+00    4.56987060e+02
 5.42385909e+01   1.18200000e+01    1.18752475e+00    4.59648470e+02
 5.50360288e+01   1.18200000e+01    1.19520222e+00    4.62297145e+02
 5.58334668e+01   1.18200000e+01    1.20276587e+00    4.64930186e+02
 5.66309047e+01   1.18150000e+01    1.21021829e+00    4.67544246e+02
 5.74283427e+01   1.18150000e+01    1.21756208e+00    4.70140103e+02
 5.82257806e+01   1.18150000e+01    1.22479964e+00    4.72720713e+02
 5.90232186e+01   1.18100000e+01    1.23193325e+00    4.75287987e+02
 5.98206565e+01   1.18100000e+01    1.23896504e+00    4.77841615e+02
 6.06180945e+01   1.18050000e+01    1.24589714e+00    4.80381023e+02
 6.14155324e+01   1.18050000e+01    1.25273168e+00    4.82905836e+02
 6.22129704e+01   1.18050000e+01    1.25947071e+00    4.85415820e+02
 6.30104083e+01   1.18000000e+01    1.26611625e+00    4.87911053e+02
 6.38078463e+01   1.18000000e+01    1.27267029e+00    4.90393008e+02
 6.46052842e+01   1.17950000e+01    1.27913465e+00    4.92863555e+02
 6.54027222e+01   1.17950000e+01    1.28551103e+00    4.95323469e+02
 6.62001601e+01   1.17950000e+01    1.29180116e+00    4.97771066e+02
 6.69975981e+01   1.17900000e+01    1.29800682e+00    5.00204360e+02
 6.77950360e+01   1.17900000e+01    1.30412976e+00    5.02623082e+02
 6.85924740e+01   1.17850000e+01    1.31017166e+00    5.05029476e+02
 6.93899119e+01   1.17850000e+01    1.31613410e+00    5.07425939e+02
 7.01873499e+01   1.17800000e+01    1.32201851e+00    5.09813230e+02
 7.09847878e+01   1.17800000e+01    1.32782635e+00    5.12190068e+02
 7.17822258e+01   1.17750000e+01    1.33355906e+00    5.14555067e+02
 7.25796637e+01   1.17750000e+01    1.33921812e+00    5.16907862e+02
 7.33771017e+01   1.17700000e+01    1.34480495e+00    5.19249441e+02
 7.41745396e+01   1.17700000e+01    1.35032091e+00    5.21580879e+02
 7.49719776e+01   1.17650000e+01    1.35576730e+00    5.23902889e+02
 7.57694155e+01   1.17650000e+01    1.36114533e+00    5.26215503e+02
 7.65668535e+01   1.17600000e+01    1.36645626e+00    5.28518683e+02
 7.73642914e+01   1.17600000e+01    1.37170130e+00    5.30812362e+02
 7.81617294e+01   1.17550000e+01    1.37688165e+00    5.33096379e+02
 7.89591673e+01   1.17550000e+01    1.38199841e+00    5.35370556e+02
 7.97566053e+01   1.17500000e+01    1.38705278e+00    5.37634782e+02
 8.05540432e+01   1.17500000e+01    1.39204591e+00    5.39889583e+02
 8.13514812e+01   1.17450000e+01    1.39697878e+00    5.42135824e+02
 8.21489191e+01   1.17450000e+01    1.40185250e+00    5.44374366e+02
 8.29463571e+01   1.17400000e+01    1.40666801e+00    5.46605470e+02
 8.37437950e+01   1.17400000e+01    1.41142630e+00    5.48828413e+02
 8.45412330e+01   1.17350000e+01    1.41612838e+00    5.51042380e+02
 8.53386709e+01   1.17300000e+01    1.42077517e+00    5.53246707e+02
 8.61361089e+01   1.17300000e+01    1.42536769e+00    5.55441859e+02
 8.69335468e+01   1.17250000e+01    1.42990684e+00    5.57628822e+02
 8.77309848e+01   1.17250000e+01    1.43439350e+00    5.59808579e+02
 8.85284227e+01   1.17200000e+01    1.43882855e+00    5.61981749e+02
 8.93258607e+01   1.17200000e+01    1.44321273e+00    5.64148013e+02
 9.01232986e+01   1.17150000e+01    1.44754698e+00    5.66306910e+02
 9.09207366e+01   1.17150000e+01    1.45183200e+00    5.68457987e+02
 9.17181745e+01   1.17100000e+01    1.45606865e+00    5.70601149e+02
 9.25156125e+01   1.17050000e+01    1.46025774e+00    5.72736737e+02
 9.33130504e+01   1.17050000e+01    1.46439996e+00    5.74865126e+02
 9.41104884e+01   1.17000000e+01    1.46849612e+00    5.76986679e+02
 9.49079263e+01   1.17000000e+01    1.47254694e+00    5.79101603e+02
 9.57053643e+01   1.16950000e+01    1.47655308e+00    5.81209969e+02
 9.65028022e+01   1.16900000e+01    1.48051522e+00    5.83311845e+02
 9.73002402e+01   1.16900000e+01    1.48443411e+00    5.85407294e+02
 9.80976781e+01   1.16850000e+01    1.48831038e+00    5.87496306e+02
 9.88951161e+01   1.16850000e+01    1.49214466e+00    5.89578808e+02
 9.96925540e+01   1.16800000e+01    1.49593758e+00    5.91654729e+02
 1.00489992e+02   1.16750000e+01    1.49968981e+00    5.93724003e+02
 1.01287430e+02   1.16750000e+01    1.50340198e+00    5.95786762e+02
