Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 4.00000000e+00   1.51550000e+01    2.22220228e-01    2.00303124e+02
 5.19775821e+00   1.39150000e+01    2.61703901e-01    2.19528013e+02
 6.39551641e+00   1.32100000e+01    2.98844230e-01    2.35847847e+02
 7.59327462e+00   1.27700000e+01    3.33893965e-01    2.50274222e+02
 8.79103283e+00   1.24700000e+01    3.67072578e-01    2.63134697e+02
 9.98879103e+00   1.22550000e+01    3.98647233e-01    2.74737516e+02
 1.11865492e+01   1.20950000e+01    4.28826313e-01    2.85325032e+02
 1.23843074e+01   1.19700000e+01    4.57776599e-01    2.95070241e+02
 1.35820657e+01   1.18750000e+01    4.85624168e-01    3.04134187e+02
 1.47798239e+01   1.18000000e+01    5.12476218e-01    3.12606282e+02
 1.59775821e+01   1.17400000e+01    5.38408863e-01    3.20608621e+02
 1.71753403e+01   1.16900000e+01    5.63485101e-01    3.28173746e+02
 1.83730985e+01   1.16500000e+01    5.87763772e-01    3.35355669e+02
 1.95708567e+01   1.16150000e+01    6.11310907e-01    3.42218473e+02
 2.07686149e+01   1.15850000e+01    6.34167561e-01    3.48752389e+02
 2.19663731e+01   1.15600000e+01    6.56368355e-01    3.55042766e+02
 2.31641313e+01   1.15400000e+01    6.77961095e-01    3.61088413e+02
 2.43618895e+01   1.15200000e+01    6.98970767e-01    3.66883150e+02
 2.55596477e+01   1.15050000e+01    7.19434931e-01    3.72518972e+02
 2.67574059e+01   1.14950000e+01    7.39372580e-01    3.77951263e+02
 2.79551641e+01   1.14800000e+01    7.58812663e-01    3.83242303e+02
 2.91529223e+01   1.14700000e+01    7.77772438e-01    3.88377819e+02
 3.03506805e+01   1.14650000e+01    7.96276740e-01    3.93360021e+02
 3.15484388e+01   1.14550000e+01    8.14343647e-01    3.98224884e+02
 3.27461970e+01   1.14500000e+01    8.31990986e-01    4.02956645e+02
 3.39439552e+01   1.14450000e+01    8.49238425e-01    4.07554603e+02
 3.51417134e+01   1.14400000e+01    8.66101598e-01    4.12068119e+02
 3.63394716e+01   1.14350000e+01    8.82592565e-01    4.16480481e+02
 3.75372298e+01   1.14300000e+01    8.98727765e-01    4.20776178e+02
 3.87349880e+01   1.14250000e+01    9.14520065e-01    4.25007441e+02
 3.99327462e+01   1.14250000e+01    9.29978707e-01    4.29166941e+02
 4.11305044e+01   1.14200000e+01    9.45115747e-01    4.33234361e+02
 4.23282626e+01   1.14200000e+01    9.59943729e-01    4.37215905e+02
 4.35260208e+01   1.14150000e+01    9.74473639e-01    4.41128490e+02
 4.47237790e+01   1.14150000e+01    9.88714272e-01    4.44987518e+02
 4.59215372e+01   1.14100000e+01    1.00267423e+00    4.48777519e+02
 4.71192954e+01   1.14100000e+01    1.01636400e+00    4.52487058e+02
 4.83170536e+01   1.14050000e+01    1.02979318e+00    4.56136040e+02
 4.95148118e+01   1.14050000e+01    1.04296926e+00    4.59739294e+02
