Stellar Sequence
Central Pressure Range = 4.0 to 1500.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 4.00000000e+00   1.48850000e+01    2.95038898e-01    1.69849400e+02
 5.19775821e+00   1.41600000e+01    3.48734434e-01    1.87129996e+02
 6.39551641e+00   1.37450000e+01    3.97595090e-01    2.01968272e+02
 7.59327462e+00   1.34800000e+01    4.42619373e-01    2.15102845e+02
 8.79103283e+00   1.33000000e+01    4.84483944e-01    2.26979652e+02
 9.98879103e+00   1.31650000e+01    5.23662898e-01    2.37874881e+02
 1.11865492e+01   1.30700000e+01    5.60523489e-01    2.47977001e+02
 1.23843074e+01   1.29900000e+01    5.95344491e-01    2.57444508e+02
 1.35820657e+01   1.29300000e+01    6.28350250e-01    2.66362874e+02
 1.47798239e+01   1.28800000e+01    6.59731221e-01    2.74806299e+02
 1.59775821e+01   1.28350000e+01    6.89644542e-01    2.82847714e+02
 1.71753403e+01   1.28000000e+01    7.18220245e-01    2.90538124e+02
 1.83730985e+01   1.27700000e+01    7.45571825e-01    2.97910051e+02
 1.95708567e+01   1.27450000e+01    7.71799358e-01    3.04995434e+02
 2.07686149e+01   1.27200000e+01    7.96989771e-01    3.11826214e+02
 2.19663731e+01   1.27000000e+01    8.21217950e-01    3.18433785e+02
 2.31641313e+01   1.26800000e+01    8.44548966e-01    3.24839601e+02
 2.43618895e+01   1.26650000e+01    8.67041774e-01    3.31056440e+02
 2.55596477e+01   1.26500000e+01    8.88750148e-01    3.37096792e+02
 2.67574059e+01   1.26350000e+01    9.09723188e-01    3.42973144e+02
 2.79551641e+01   1.26200000e+01    9.30005245e-01    3.48697985e+02
 2.91529223e+01   1.26050000e+01    9.49636299e-01    3.54283805e+02
 3.03506805e+01   1.25950000e+01    9.68652476e-01    3.59742867e+02
 3.15484388e+01   1.25850000e+01    9.87086438e-01    3.65083692e+02
 3.27461970e+01   1.25700000e+01    1.00496842e+00    3.70311687e+02
 3.39439552e+01   1.25600000e+01    1.02232669e+00    3.75432164e+02
 3.51417134e+01   1.25500000e+01    1.03918747e+00    3.80450438e+02
 3.63394716e+01   1.25400000e+01    1.05557506e+00    3.85371821e+02
 3.75372298e+01   1.25300000e+01    1.07151214e+00    3.90201628e+02
 3.87349880e+01   1.25200000e+01    1.08701968e+00    3.94945171e+02
 3.99327462e+01   1.25100000e+01    1.10211703e+00    3.99607764e+02
 4.11305044e+01   1.25000000e+01    1.11682214e+00    4.04194720e+02
 4.23282626e+01   1.24950000e+01    1.13115163e+00    4.08711021e+02
 4.35260208e+01   1.24850000e+01    1.14512102e+00    4.13159609e+02
 4.47237790e+01   1.24750000e+01    1.15874502e+00    4.17542648e+02
 4.59215372e+01   1.24650000e+01    1.17203743e+00    4.21862303e+02
 4.71192954e+01   1.24600000e+01    1.18501141e+00    4.26120739e+02
 4.83170536e+01   1.24500000e+01    1.19767937e+00    4.30320118e+02
 4.95148118e+01   1.24400000e+01    1.21005311e+00    4.34462606e+02
 5.07125701e+01   1.24350000e+01    1.22214364e+00    4.38550366e+02
 5.19103283e+01   1.24250000e+01    1.23396153e+00    4.42585563e+02
 5.31080865e+01   1.24200000e+01    1.24551671e+00    4.46570360e+02
 5.43058447e+01   1.24100000e+01    1.25681853e+00    4.50506922e+02
 5.55036029e+01   1.24000000e+01    1.26787582e+00    4.54397413e+02
 5.67013611e+01   1.23950000e+01    1.27869698e+00    4.58243997e+02
