Stellar Sequence
Central Pressure Range = 1.5 to 450 MeVfm^3
Number of Stars = 500
h = 15 meters
r0 = 5 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 1.50000000e+00   1.40000000e+01    1.63321478e-01    1.05835005e+02
 2.39879760e+00   1.30400000e+01    2.42922131e-01    1.22184117e+02
 3.29759519e+00   1.28300000e+01    3.13945671e-01    1.35236291e+02
 4.19639279e+00   1.28000000e+01    3.78070162e-01    1.46602613e+02
 5.09519038e+00   1.28300000e+01    4.36543079e-01    1.56710627e+02
 5.99398798e+00   1.28750000e+01    4.90354264e-01    1.65868564e+02
 6.89278557e+00   1.29200000e+01    5.40269560e-01    1.74298105e+02
 7.79158317e+00   1.29800000e+01    5.86862305e-01    1.82130581e+02
 8.69038076e+00   1.30250000e+01    6.30533224e-01    1.89465699e+02
 9.58917836e+00   1.30850000e+01    6.71656066e-01    1.96403066e+02
 1.04879760e+01   1.31300000e+01    7.10509661e-01    2.03012965e+02
 1.13867735e+01   1.31600000e+01    7.47314854e-01    2.09305221e+02
 1.22855711e+01   1.31900000e+01    7.82276960e-01    2.15353812e+02
 1.31843687e+01   1.32350000e+01    8.15571876e-01    2.21172491e+02
 1.40831663e+01   1.32500000e+01    8.47321618e-01    2.26779404e+02
 1.49819639e+01   1.32800000e+01    8.77676812e-01    2.32220245e+02
 1.58807615e+01   1.33100000e+01    9.06721115e-01    2.37481400e+02
 1.67795591e+01   1.33250000e+01    9.34565821e-01    2.42608129e+02
 1.76783567e+01   1.33550000e+01    9.61292980e-01    2.47589534e+02
 1.85771543e+01   1.33700000e+01    9.86972305e-01    2.52455573e+02
 1.94759519e+01   1.33850000e+01    1.01168520e+00    2.57200328e+02
 2.03747495e+01   1.34000000e+01    1.03548624e+00    2.61844502e+02
 2.12735471e+01   1.34150000e+01    1.05843009e+00    2.66392746e+02
 2.21723447e+01   1.34300000e+01    1.08056523e+00    2.70841506e+02
 2.30711423e+01   1.34300000e+01    1.10193797e+00    2.75214850e+02
 2.39699399e+01   1.34450000e+01    1.12260041e+00    2.79502820e+02
 2.48687375e+01   1.34600000e+01    1.14258488e+00    2.83721523e+02
 2.57675351e+01   1.34600000e+01    1.16192427e+00    2.87869769e+02
 2.66663327e+01   1.34600000e+01    1.18065441e+00    2.91947167e+02
 2.75651303e+01   1.34750000e+01    1.19880903e+00    2.95969664e+02
 2.84639279e+01   1.34750000e+01    1.21641409e+00    2.99928028e+02
 2.93627255e+01   1.34750000e+01    1.23348841e+00    3.03833369e+02
 3.02615230e+01   1.34900000e+01    1.25007342e+00    3.07686887e+02
 3.11603206e+01   1.34900000e+01    1.26617421e+00    3.11488936e+02
 3.20591182e+01   1.34900000e+01    1.28182107e+00    3.15243597e+02
 3.29579158e+01   1.34900000e+01    1.29702977e+00    3.18954695e+02
 3.38567134e+01   1.34900000e+01    1.31182326e+00    3.22620422e+02
