Stellar Sequence
Central Pressure Range = 1.5 to 450.0 MeVfm^3
Number of Stars = 1250
h = 5 meters
r0 = 10.0 meters
      P_MeV/fm3             R_km         M_M_solar     Energy Density
 1.50000000e+00   1.49400000e+01    1.56957730e-01    1.09926979e+02
 1.85908727e+00   1.41100000e+01    1.86712540e-01    1.17747357e+02
 2.21817454e+00   1.36500000e+01    2.14936999e-01    1.24697701e+02
 2.57726181e+00   1.33700000e+01    2.41856313e-01    1.30918809e+02
 2.93634908e+00   1.31950000e+01    2.67609089e-01    1.36621143e+02
 3.29543635e+00   1.30750000e+01    2.92348983e-01    1.41954691e+02
 3.65452362e+00   1.30000000e+01    3.16160022e-01    1.46870842e+02
 4.01361089e+00   1.29450000e+01    3.39142063e-01    1.51560084e+02
 4.37269816e+00   1.29100000e+01    3.61351690e-01    1.55951410e+02
 4.73178543e+00   1.28850000e+01    3.82865104e-01    1.60162088e+02
 5.09087270e+00   1.28700000e+01    4.03715062e-01    1.64175068e+02
 5.44995997e+00   1.28650000e+01    4.23965083e-01    1.68004240e+02
 5.80904724e+00   1.28600000e+01    4.43641891e-01    1.71733704e+02
 6.16813451e+00   1.28600000e+01    4.62782370e-01    1.75273562e+02
 6.52722178e+00   1.28650000e+01    4.81427458e-01    1.78719196e+02
 6.88630905e+00   1.28700000e+01    4.99593340e-01    1.82072097e+02
 7.24539632e+00   1.28750000e+01    5.17308931e-01    1.85295666e+02
 7.60448359e+00   1.28850000e+01    5.34603805e-01    1.88435706e+02
 7.96357086e+00   1.28950000e+01    5.51489111e-01    1.91522827e+02
 8.32265813e+00   1.29050000e+01    5.67985747e-01    1.94491603e+02
 8.68174540e+00   1.29150000e+01    5.84120346e-01    1.97391978e+02
 9.04083267e+00   1.29250000e+01    5.99901791e-01    2.00252157e+02
 9.39991994e+00   1.29350000e+01    6.15342911e-01    2.03036140e+02
 9.75900721e+00   1.29450000e+01    6.30463565e-01    2.05746449e+02
 1.01180945e+01   1.29550000e+01    6.45276269e-01    2.08415518e+02
 1.04771817e+01   1.29650000e+01    6.59789178e-01    2.11044708e+02
 1.08362690e+01   1.29750000e+01    6.74014434e-01    2.13609610e+02
 1.11953563e+01   1.29850000e+01    6.87965860e-01    2.16122306e+02
 1.15544436e+01   1.29950000e+01    7.01652807e-01    2.18601876e+02
 1.19135308e+01   1.30050000e+01    7.15081735e-01    2.21050702e+02
 1.22726181e+01   1.30150000e+01    7.28261743e-01    2.23448132e+02
 1.26317054e+01   1.30250000e+01    7.41204225e-01    2.25799470e+02
 1.29907926e+01   1.30350000e+01    7.53916842e-01    2.28122699e+02
 1.33498799e+01   1.30450000e+01    7.66405287e-01    2.30423195e+02
 1.37089672e+01   1.30550000e+01    7.78675155e-01    2.32691248e+02
 1.40680544e+01   1.30600000e+01    7.90735029e-01    2.34913276e+02
 1.44271417e+01   1.30700000e+01    8.02593249e-01    2.37104030e+02
 1.47862290e+01   1.30800000e+01    8.14254775e-01    2.39276778e+02
 1.51453163e+01   1.30850000e+01    8.25723957e-01    2.41426036e+02
 1.55044035e+01   1.30950000e+01    8.37006525e-01    2.43546722e+02
 1.58634908e+01   1.31000000e+01    8.48108435e-01    2.45637096e+02
 1.62225781e+01   1.31100000e+01    8.59035426e-01    2.47702013e+02
 1.65816653e+01   1.31150000e+01    8.69791726e-01    2.49750288e+02
 1.69407526e+01   1.31200000e+01    8.80381104e-01    2.51780039e+02
 1.72998399e+01   1.31300000e+01    8.90808042e-01    2.53783217e+02
 1.76589271e+01   1.31350000e+01    9.01077820e-01    2.55760895e+02
 1.80180144e+01   1.31400000e+01    9.11194678e-01    2.57719948e+02
